"Date","Price","Open","High","Low","Vol.","Change %"
"2024-12-31","14.6500","14.7000","14.7250","14.6500","","0.00%"
"2024-12-30","14.6500","14.7000","14.7250","14.6500","","0.00%"
"2024-12-27","14.6500","14.6500","14.8500","14.6500","","0.00%"
"2024-12-26","14.6500","14.6500","14.6500","14.6500","","0.00%"
"2024-12-25","14.6500","14.6500","14.6500","14.6500","","0.00%"
"2024-12-24","14.6500","14.7000","14.7000","14.5500","","0.00%"
"2024-12-23","14.6500","14.7000","14.7650","14.5975","","0.00%"
"2024-12-20","14.6500","14.7000","14.7250","14.6500","","0.00%"
"2024-12-19","14.6500","14.7000","14.7650","14.6000","","0.00%"
"2024-12-18","14.6500","14.6900","14.7300","14.6500","","0.00%"
"2024-12-17","14.6500","14.7000","14.8050","14.6500","","0.00%"
"2024-12-16","14.6500","14.6650","14.8050","14.6500","","-0.17%"
"2024-12-13","14.6750","14.6300","14.7250","14.6300","","0.17%"
"2024-12-12","14.6500","14.6500","15.2250","14.6000","","0.34%"
"2024-12-11","14.6000","14.6500","14.8200","14.6500","","-0.34%"
"2024-12-10","14.6500","14.7500","14.8950","14.7000","","-0.34%"
"2024-12-09","14.7000","14.7750","15.3750","14.7450","","-0.68%"
"2024-12-06","14.8000","14.8000","14.8000","14.8000","","0.00%"
"2024-12-05","14.8000","14.8500","15.0000","14.7500","","-0.34%"
"2024-12-04","14.8500","15.1500","15.6500","14.8500","","-1.66%"
"2024-12-03","15.1000","15.2000","15.2600","15.0500","","-0.33%"
"2024-12-02","15.1500","15.3700","15.7350","15.1500","","-0.33%"
"2024-11-29","15.2000","15.4000","15.4500","15.2000","","-0.65%"
"2024-11-28","15.3000","15.4750","15.6250","15.3500","","-0.97%"
"2024-11-27","15.4500","15.5000","15.9150","15.4500","","-0.32%"
"2024-11-26","15.5000","15.6750","15.9100","15.5500","","-0.96%"
"2024-11-25","15.6500","15.8500","15.9250","15.7000","","-0.95%"
"2024-11-22","15.8000","15.9000","16.0275","15.7500","","-0.32%"
"2024-11-21","15.8500","15.9000","15.9250","15.7750","","0.00%"
"2024-11-20","15.8500","15.9000","16.1000","15.8500","","0.00%"
"2024-11-19","15.8500","15.9500","16.1000","15.8500","","-0.31%"
"2024-11-18","15.9000","16.2000","16.2250","15.8750","","-0.31%"
"2024-11-15","15.9500","16.0500","16.1750","15.8750","","-0.31%"
"2024-11-14","16.0000","16.1500","16.2750","15.9650","","-0.62%"
"2024-11-13","16.1000","16.3000","16.3000","16.0250","","-0.92%"
"2024-11-12","16.2500","16.3500","16.4000","16.1000","","-0.31%"
"2024-11-11","16.3000","16.2000","16.4000","16.2000","","0.62%"
"2024-11-08","16.2000","16.3000","16.4500","16.2750","","0.00%"
"2024-11-07","16.2000","16.3500","16.4500","16.2750","","-0.61%"
"2024-11-06","16.3000","16.3750","16.4750","16.3250","","0.12%"
"2024-11-05","16.2800","16.3500","16.4775","16.3150","","-0.12%"
"2024-11-04","16.3000","16.3000","16.3500","16.2000","","0.31%"
"2024-11-01","16.2500","16.3000","16.4300","16.1500","","0.00%"
"2024-10-31","16.2500","16.3000","16.3250","16.1500","","0.00%"
"2024-10-30","16.2500","16.2600","16.3500","16.0750","","0.93%"
"2024-10-29","16.1000","16.0750","16.3000","16.0750","","-0.62%"
"2024-10-28","16.2000","16.2000","16.2500","16.0750","","0.93%"
"2024-10-25","16.0500","16.1400","16.2650","16.0600","","0.19%"
"2024-10-24","16.0200","16.1100","16.1500","16.0600","","-0.19%"
"2024-10-23","16.0500","16.1500","16.2000","15.9550","","0.63%"
"2024-10-22","15.9500","16.1000","16.1750","15.9750","","-0.62%"
"2024-10-21","16.0500","16.0450","16.1350","15.9600","","0.94%"
"2024-10-18","15.9000","16.0450","16.4250","15.9500","","-0.56%"
"2024-10-17","15.9900","16.0000","16.0900","15.9100","","0.25%"
"2024-10-16","15.9500","15.9150","16.0700","15.9050","","0.00%"
"2024-10-15","15.9500","15.9500","16.0200","15.9000","","0.31%"
"2024-10-14","15.9000","15.9300","15.9850","15.9000","","0.13%"
"2024-10-11","15.8800","15.9000","15.9825","15.8700","","0.19%"
"2024-10-10","15.8500","15.9000","15.9825","15.8300","","0.00%"
"2024-10-09","15.8500","15.8900","15.9750","15.8400","","0.06%"
"2024-10-08","15.8400","15.8900","15.9750","15.8250","","0.00%"
"2024-10-07","15.8400","15.8500","15.9400","15.7700","","0.44%"
"2024-10-04","15.7700","15.8900","15.9200","15.7700","","-0.06%"
"2024-10-03","15.7800","15.8200","15.9800","15.7700","","0.00%"
"2024-10-02","15.7800","15.8000","15.8650","15.7850","","0.25%"
"2024-10-01","15.7400","15.8000","15.8900","15.6700","","-0.06%"
"2024-09-30","15.7500","15.8400","15.8650","15.6950","","0.32%"
"2024-09-27","15.7000","15.7500","15.8250","15.7250","","0.00%"
"2024-09-26","15.7000","15.7500","15.8050","15.6750","","0.00%"
"2024-09-25","15.7000","15.7500","15.8850","15.7000","","0.00%"
"2024-09-24","15.7000","15.7000","15.8500","15.6750","","0.13%"
"2024-09-23","15.6800","15.7300","15.7300","15.7300","","0.00%"
"2024-09-20","15.6800","15.7500","15.8350","15.7000","","0.32%"
"2024-09-19","15.6300","15.7000","15.8200","15.6150","","0.06%"
"2024-09-18","15.6200","15.7000","15.7400","15.6700","","-0.19%"
"2024-09-17","15.6500","15.6900","15.7100","15.6500","","0.06%"
"2024-09-16","15.6400","15.7000","15.8000","15.6500","","0.00%"
"2024-09-13","15.6400","15.6700","15.8250","15.6400","","0.13%"
"2024-09-12","15.6200","15.6700","15.7600","15.6400","","0.00%"
"2024-09-11","15.6200","15.6700","15.6950","15.5850","","0.00%"
"2024-09-10","15.6200","15.6700","15.6950","15.5500","","0.00%"
"2024-09-09","15.6200","15.6700","15.7500","15.6250","","0.00%"
"2024-09-06","15.6200","15.6700","15.7600","15.5800","","0.00%"
"2024-09-05","15.6200","15.6300","15.8200","15.6250","","0.00%"
"2024-09-04","15.6200","15.6300","15.6700","15.6000","","0.26%"
"2024-09-03","15.5800","15.6300","15.7905","15.5600","","0.00%"
"2024-09-02","15.5800","15.6500","15.7852","15.6000","","0.00%"
"2024-08-30","15.5800","15.6300","15.7650","15.6000","","-0.13%"
"2024-08-29","15.6000","15.6300","15.7400","15.5900","","0.13%"
"2024-08-28","15.5800","15.6300","15.7400","15.5800","","0.00%"
"2024-08-27","15.5800","15.6300","15.6500","15.5250","","0.00%"
